question,answer,tags,score,accepted_answer,url
Create a Pandas Dataframe by appending one row at a time,"You can use df.loc[i] , where the row with index i will be what you specify it to be in the dataframe. >>> import pandas as pd
>>> from numpy.random import randint

>>> df = pd.DataFrame(columns=['lib', 'qty1', 'qty2'])
>>> for i in range(5):
>>>     df.loc[i] = ['name' + str(i)] + list(randint(10, size=2))

>>> df
     lib qty1 qty2
0  name0    3    3
1  name1    2    4
2  name2    2    8
3  name3    2    1
4  name4    9    6","python,pandas,dataframe,append",1429,24888331,https://stackoverflow.com/questions/10715965/create-a-pandas-dataframe-by-appending-one-row-at-a-time
What is the difference between null=True and blank=True in Django?,"null=True sets NULL (versus NOT NULL ) on the column in your DB. Blank values for Django field types such as DateTimeField or ForeignKey will be stored as NULL in the DB. blank determines whether the field will be required in forms. This includes the admin and your custom forms. If blank=True then the field will not be required, whereas if it's False the field cannot be blank. The combo of the two is so frequent because typically if you're going to allow a field to be blank in your form, you're going to also need your database to allow NULL values for that field. The exception is CharField s and TextField s, which in Django are never saved as NULL . Blank values are stored in the DB as an empty string ( '' ). A few examples: models.DateTimeField(blank=True) # raises IntegrityError if blank

models.DateTimeField(null=True) # NULL allowed, but must be filled out in a form Obviously, Those two options don't make logical sense to use (though there might be a use case for null=True, blank=False if you want a field to always be required in forms, optional when dealing with an object through something like the shell.) models.CharField(blank=True) # No problem, blank is stored as ''

models.CharField(null=True) # NULL allowed, but will never be set as NULL CHAR and TEXT types are never saved as NULL by Django, so null=True is unnecessary. However, you can manually set one of these fields to None to force set it as NULL . If you have a scenario where that might be necessary, you should still include null=True .","python,django,django-models,django-admin",1429,8609425,https://stackoverflow.com/questions/8609192/what-is-the-difference-between-null-true-and-blank-true-in-django
How do I check if a variable exists?,"To check the existence of a local variable: if 'myVar' in locals():
  # myVar exists. To check the existence of a global variable: if 'myVar' in globals():
  # myVar exists. To check if an object has an attribute: if hasattr(obj, 'attr_name'):
  # obj.attr_name exists.","python,exception,variables",1427,843293,https://stackoverflow.com/questions/843277/how-do-i-check-if-a-variable-exists
How do I remove all packages installed by pip?,"I've found this snippet as an alternative solution. It's a more graceful removal of libraries than remaking the virtualenv: pip freeze | xargs pip uninstall -y In case you have packages installed via VCS, you need to exclude those lines and remove the packages manually (elevated from the comments below): pip freeze --exclude-editable | xargs pip uninstall -y If you have packages installed directly from github/gitlab, those will have @ .
Like: django @ git+https://github.com/django.git@<sha> You can add cut -d ""@"" -f1 to get just the package name that is required to uninstall it. pip freeze | cut -d ""@"" -f1 | xargs pip uninstall -y","python,pip,virtualenv,python-packaging",1418,11250821,https://stackoverflow.com/questions/11248073/how-do-i-remove-all-packages-installed-by-pip
How can I do a line break (line continuation) in Python (split up a long line of source code)?,"What is the line?  You can just have arguments on the next line without any problems: a = dostuff(blahblah1, blahblah2, blahblah3, blahblah4, blahblah5, 
            blahblah6, blahblah7) Otherwise you can do something like this: if (a == True and
    b == False): or with explicit line break: if a == True and \
   b == False: Check the style guide for more information. Using parentheses, your example can be written over multiple lines: a = ('1' + '2' + '3' +
    '4' + '5') The same effect can be obtained using explicit line break: a = '1' + '2' + '3' + \
    '4' + '5' Note that the style guide says that using the implicit continuation with parentheses is preferred, but in this particular case just adding parentheses around your expression is probably the wrong way to go.","python,syntax,line-breaks,long-lines",1417,53180,https://stackoverflow.com/questions/53162/how-can-i-do-a-line-break-line-continuation-in-python-split-up-a-long-line-of
What is a mixin and why is it useful?,"A mixin is a special kind of multiple inheritance.  There are two main situations where mixins are used: You want to provide a lot of optional features for a class. You want to use one particular feature in a lot of different classes. For an example of number one, consider werkzeug's request and response system .  I can make a plain old request object by saying: from werkzeug import BaseRequest

class Request(BaseRequest):
    pass If I want to add accept header support, I would make that from werkzeug import BaseRequest, AcceptMixin

class Request(AcceptMixin, BaseRequest):
    pass If I wanted to make a request object that supports accept headers, etags, authentication, and user agent support, I could do this: from werkzeug import BaseRequest, AcceptMixin, ETagRequestMixin, UserAgentMixin, AuthenticationMixin

class Request(AcceptMixin, ETagRequestMixin, UserAgentMixin, AuthenticationMixin, BaseRequest):
    pass The difference is subtle, but in the above examples, the mixin classes weren't made to stand on their own.  In more traditional multiple inheritance, the AuthenticationMixin (for example) would probably be something more like Authenticator .  That is, the class would probably be designed to stand on its own.","python,oop,multiple-inheritance,mixins,python-class",1413,547714,https://stackoverflow.com/questions/533631/what-is-a-mixin-and-why-is-it-useful
How can I read a text file into a string variable and strip newlines?,"You could use: with open('data.txt', 'r') as file:
    data = file.read().replace('\n', '') Or if the file content is guaranteed to be one line: with open('data.txt', 'r') as file:
    data = file.read().rstrip()","python,string",1411,8369345,https://stackoverflow.com/questions/8369219/how-can-i-read-a-text-file-into-a-string-variable-and-strip-newlines
How do I reverse a list or loop over it backwards?,"To get a new reversed list, apply the reversed function and collect the items into a list : >>> xs = [0, 10, 20, 40]
>>> list(reversed(xs))
[40, 20, 10, 0] To iterate backwards through a list: >>> xs = [0, 10, 20, 40]
>>> for x in reversed(xs):
...     print(x)
40
20
10
0","python,list,reverse",1410,3940144,https://stackoverflow.com/questions/3940128/how-do-i-reverse-a-list-or-loop-over-it-backwards
Putting a simple if-then-else statement on one line,"That's more specifically a ternary operator expression than an if-then, here's the python syntax value_when_true if condition else value_when_false Better Example: (thanks Mr. Burns ) 'Yes' if fruit == 'Apple' else 'No' Now with assignment and contrast with if syntax fruit = 'Apple'
isApple = True if fruit == 'Apple' else False vs fruit = 'Apple'
isApple = False
if fruit == 'Apple' : isApple = True","python,if-statement,syntax,conditional-operator",1404,2802748,https://stackoverflow.com/questions/2802726/putting-a-simple-if-then-else-statement-on-one-line
"Extract file name from path, no matter what the os/path format","Using os.path.split or os.path.basename as others suggest won't work in all cases: if you're running the script on Linux and attempt to process a classic windows-style path, it will fail. Windows paths can use either backslash or forward slash as path separator. Therefore, the ntpath module (which is equivalent to os.path when running on windows) will work for all (1) paths on all platforms. import ntpath
ntpath.basename(""a/b/c"") Of course, if the file ends with a slash, the basename will be empty, so make your own function to deal with it: def path_leaf(path):
    head, tail = ntpath.split(path)
    return tail or ntpath.basename(head) Verification: >>> paths = ['a/b/c/', 'a/b/c', '\\a\\b\\c', '\\a\\b\\c\\', 'a\\b\\c', 
...     'a/b/../../a/b/c/', 'a/b/../../a/b/c']
>>> [path_leaf(path) for path in paths]
['c', 'c', 'c', 'c', 'c', 'c', 'c'] (1) There's one caveat: Linux filenames may contain backslashes . So on linux, r'a/b\c' always refers to the file b\c in the a folder, while on Windows, it always refers to the c file in the b subfolder of the a folder. So when both forward and backward slashes are used in a path, you need to know the associated platform to be able to interpret it correctly. In practice it's usually safe to assume it's a windows path since backslashes are seldom used in Linux filenames, but keep this in mind when you code so you don't create accidental security holes.","python,path",1395,8384788,https://stackoverflow.com/questions/8384737/extract-file-name-from-path-no-matter-what-the-os-path-format
Get a list from Pandas DataFrame column headers,You can get the values as a list by doing: list(my_dataframe.columns.values) Also you can simply use (as shown in Ed Chum's answer ): list(my_dataframe),"python,pandas,dataframe,list,header",1395,19483025,https://stackoverflow.com/questions/19482970/get-a-list-from-pandas-dataframe-column-headers
Use a list of values to select rows from a Pandas dataframe,"You can use the isin method: In [1]: df = pd.DataFrame({'A': [5,6,3,4], 'B': [1,2,3,5]})

In [2]: df
Out[2]:
   A  B
0  5  1
1  6  2
2  3  3
3  4  5

In [3]: df[df['A'].isin([3, 6])]
Out[3]:
   A  B
1  6  2
2  3  3 And to get the opposite use ~ : In [4]: df[~df['A'].isin([3, 6])]
Out[4]:
   A  B
0  5  1
3  4  5","python,pandas,dataframe,indexing,filter",1393,12098586,https://stackoverflow.com/questions/12096252/use-a-list-of-values-to-select-rows-from-a-pandas-dataframe
Correct way to write line to file?,"This should be as simple as: with open('somefile.txt', 'a') as the_file:
    the_file.write('Hello\n') From The Documentation: Do not use os.linesep as a line terminator when writing files opened in text mode (the default); use a single '\n' instead, on all platforms. Some useful reading: The with statement open() 'a' is for append, or use 'w' to write with truncation os (particularly os.linesep )","python,file-io",1391,6160082,https://stackoverflow.com/questions/6159900/correct-way-to-write-line-to-file
How does Python&#39;s super() work with multiple inheritance?,"This is detailed with a reasonable amount of detail by Guido himself in his blog post Method Resolution Order (including two earlier attempts). In your example, Third() will call First.__init__ . Python looks for each attribute in the class's parents as they are listed left to right. In this case, we are looking for __init__ . So, if you define class Third(First, Second):
    ... Python will start by looking at First , and, if First doesn't have the attribute, then it will look at Second . This situation becomes more complex when inheritance starts crossing paths (for example if First inherited from Second ). Read the link above for more details, but, in a nutshell, Python will try to maintain the order in which each class appears on the inheritance list, starting with the child class itself. So, for instance, if you had: class First(object):
    def __init__(self):
        print ""first""

class Second(First):
    def __init__(self):
        print ""second""

class Third(First):
    def __init__(self):
        print ""third""

class Fourth(Second, Third):
    def __init__(self):
        super(Fourth, self).__init__()
        print ""that's it"" the MRO would be [Fourth, Second, Third, First]. By the way: if Python cannot find a coherent method resolution order, it'll raise an exception, instead of falling back to behavior which might surprise the user. Example of an ambiguous MRO: class First(object):
    def __init__(self):
        print ""first""
        
class Second(First):
    def __init__(self):
        print ""second""

class Third(First, Second):
    def __init__(self):
        print ""third"" Should Third 's MRO be [First, Second] or [Second, First] ? There's no obvious expectation, and Python will raise an error: TypeError: Error when calling the metaclass bases
    Cannot create a consistent method resolution order (MRO) for bases Second, First Why do the examples above lack super() calls? The point of the examples is to show how the MRO is constructed. They are not intended to print ""first\nsecond\third"" or whatever. You can – and should, of course, play around with the example, add super() calls, see what happens, and gain a deeper understanding of Python's inheritance model. But my goal here is to keep it simple and show how the MRO is built. And it is built as I explained: >>> Fourth.__mro__
(<class '__main__.Fourth'>,
 <class '__main__.Second'>, <class '__main__.Third'>,
 <class '__main__.First'>,
 <type 'object'>)","python,multiple-inheritance",1389,3277407,https://stackoverflow.com/questions/3277367/how-does-pythons-super-work-with-multiple-inheritance
How do I trim whitespace from a string?,"To remove all whitespace surrounding a string, use .strip() . Examples: >>> ' Hello '.strip()
'Hello'
>>> ' Hello'.strip()
'Hello'
>>> 'Bob has a cat'.strip()
'Bob has a cat'
>>> '   Hello   '.strip()  # ALL consecutive spaces at both ends removed
'Hello' Note that str.strip() removes all whitespace characters, including tabs and newlines. To remove only spaces, specify the specific character to remove as an argument to strip : >>> ""  Hello\n  "".strip("" "")
'Hello\n' To remove only one space at most: def strip_one_space(s):
    if s.endswith("" ""): s = s[:-1]
    if s.startswith("" ""): s = s[1:]
    return s

>>> strip_one_space(""   Hello "")
'  Hello'","python,string,trim",1388,761825,https://stackoverflow.com/questions/761804/how-do-i-trim-whitespace-from-a-string
How do I type hint a method with the type of the enclosing class?,"I guess you got this exception: NameError: name 'Position' is not defined This is because in the original implementation of annotations, Position must be defined before you can use it in an annotation. Python 3.14+: It'll just work Python 3.14 has a new, lazily evaluated annotation implementation specified by PEP 749 and 649 . Annotations will be compiled to special __annotate__ functions, executed when an object's __annotations__ dict is first accessed instead of at the point where the annotation itself occurs. Thus, annotating your function as def __add__(self, other: Position) -> Position: no longer requires Position to already exist: class Position:
    def __add__(self, other: Position) -> Position:
        ... Python 3.7+, deprecated: from __future__ import annotations from __future__ import annotations turns on an older solution to this problem, PEP 563 , where all annotations are saved as strings instead of as __annotate__ functions or evaluated values. This was originally planned to become the default behavior, and almost became the default in 3.10 before being reverted. With the acceptance of PEP 749, this will be deprecated in Python 3.14, and it will be removed in a future Python version. Still, it works for now: from __future__ import annotations

class Position:
    def __add__(self, other: Position) -> Position:
        ... Python 3+: Use a string This is the original workaround, specified in PEP 484 . Write your annotations as string literals containing the text of whatever expression you originally wanted to use as an annotation: class Position:
    def __add__(self, other: 'Position') -> 'Position':
        ... from __future__ import annotations effectively automates doing this for all annotations in a file. typing.Self might sometimes be appropriate Introduced in Python 3.11, typing.Self refers to the type of the current instance, even if that type is a subclass of the class the annotation appears in. So if you have the following code: from typing import Self

class Parent:
    def me(self) -> Self:
        return self

class Child(Parent): pass

x: Child = Child().me() then Child().me() is treated as returning Child , instead of Parent . This isn't always what you want. But when it is, it's pretty convenient. For Python versions < 3.11, if you have typing_extensions installed, you can use: from typing_extensions import Self Sources The relevant parts of PEP 484, PEP 563, and PEP 649, to spare you the trip: Forward references When a type hint contains names that have not been defined yet, that definition may be expressed as a string literal, to be resolved later. A situation where this occurs commonly is the definition of a container class, where the class being defined occurs in the signature of some of the methods. For example, the following code (the start of a simple binary tree implementation) does not work: class Tree:
    def __init__(self, left: Tree, right: Tree):
        self.left = left
        self.right = right To address this, we write: class Tree:
    def __init__(self, left: 'Tree', right: 'Tree'):
        self.left = left
        self.right = right The string literal should contain a valid Python expression (i.e., compile(lit, '', 'eval') should be a valid code object) and it should evaluate without errors once the module has been fully loaded. The local and global namespace in which it is evaluated should be the same namespaces in which default arguments to the same function would be evaluated. and PEP 563, deprecated: Implementation In Python 3.10, function and variable annotations will no longer be evaluated at definition time. Instead, a string form will be preserved in the respective __annotations__ dictionary. Static type checkers will see no difference in behavior, whereas tools using annotations at runtime will have to perform postponed evaluation. ... Enabling the future behavior in Python 3.7 The functionality described above can be enabled starting from Python 3.7 using the following special import: from __future__ import annotations and PEP 649: Overview This PEP adds a new dunder attribute to the objects that support annotations–functions, classes, and modules. The new attribute is called __annotate__ , and is a reference to a function which computes and returns that object’s annotations dict. At compile time, if the definition of an object includes annotations, the Python compiler will write the expressions computing the annotations into its own function. When run, the function will return the annotations dict. The Python compiler then stores a reference to this function in __annotate__ on the object. Furthermore, __annotations__ is redefined to be a “data descriptor” which calls this annotation function once and caches the result. Things that you may be tempted to do instead A. Define a dummy Position Before the class definition, place a dummy definition: class Position(object):
    pass

class Position:

    def __init__(self, x: int, y: int):
        self.x = x
        self.y = y

    def __add__(self, other: Position) -> Position:
        return Position(self.x + other.x, self.y + other.y) This will get rid of the NameError and may even look OK: >>> Position.__add__.__annotations__
{'other': __main__.Position, 'return': __main__.Position} But is it? >>> for k, v in Position.__add__.__annotations__.items():
...     print(k, 'is Position:', v is Position)                                                                                                                                                                                                                  
return is Position: False
other is Position: False And mypy will report a pile of errors: main.py:4: error: Name ""Position"" already defined on line 1  [no-redef]
main.py:11: error: Too many arguments for ""Position""  [call-arg]
main.py:11: error: ""Position"" has no attribute ""x""  [attr-defined]
main.py:11: error: ""Position"" has no attribute ""y""  [attr-defined]
Found 4 errors in 1 file (checked 1 source file) B. Monkey-patch in order to add the annotations: You may want to try some Python metaprogramming magic and write a decorator
to monkey-patch the class definition in order to add annotations: class Position:
    ...
    def __add__(self, other):
        return self.__class__(self.x + other.x, self.y + other.y) The decorator should be responsible for the equivalent of this: Position.__add__.__annotations__['return'] = Position
Position.__add__.__annotations__['other'] = Position It'll work right at runtime: >>> for k, v in Position.__add__.__annotations__.items():
...     print(k, 'is Position:', v is Position)                                                                                                                                                                                                                  
return is Position: True
other is Position: True But static analyzers like mypy won't understand it, and static analysis is the biggest use case of type annotations.","python,pycharm,python-typing",1386,33533514,https://stackoverflow.com/questions/33533148/how-do-i-type-hint-a-method-with-the-type-of-the-enclosing-class
How do I return dictionary keys as a list in Python?,"This will convert the dict_keys object to a list : list(newdict.keys()) On the other hand, you should ask yourself whether or not it matters. It is Pythonic to assume duck typing -- if it looks like a duck and it quacks like a duck, it is a duck . The dict_keys object can be iterated over just like a list . For instance: for key in newdict.keys():
    print(key) Note that dict_keys doesn't support insertion newdict[k] = v , though you may not need it.","python,python-3.x,list,dictionary",1383,16819250,https://stackoverflow.com/questions/16819222/how-do-i-return-dictionary-keys-as-a-list-in-python
How do I get file creation and modification date/times?,"In Python 3.4 and above, you can use the object oriented pathlib module interface which includes wrappers for much of the os module.  Here is an example of getting the file stats. >>> import pathlib
>>> fname = pathlib.Path('test.py')
>>> assert fname.exists(), f'No such file: {fname}'  # check that the file exists
>>> print(fname.stat())
os.stat_result(st_mode=33206, st_ino=5066549581564298, st_dev=573948050, st_nlink=1, st_uid=0, st_gid=0, st_size=413, st_atime=1523480272, st_mtime=1539787740, st_ctime=1523480272) For more information about what os.stat_result contains, refer to the documentation . For the modification time you want fname.stat().st_mtime : >>> import datetime
>>> mtime = datetime.datetime.fromtimestamp(fname.stat().st_mtime, tz=datetime.timezone.utc)
>>> print(mtime)
datetime.datetime(2018, 10, 17, 10, 49, 0, 249980) If you want the creation time on Windows, or the most recent metadata change on Unix, you would use fname.stat().st_ctime : >>> ctime = datetime.datetime.fromtimestamp(fname.stat().st_ctime, tz=datetime.timezone.utc)
>>> print(ctime)
datetime.datetime(2018, 4, 11, 16, 57, 52, 151953) This article has more helpful info and examples for the pathlib module.","python,file",1381,52858040,https://stackoverflow.com/questions/237079/how-do-i-get-file-creation-and-modification-date-times
How to get the ASCII value of a character,"From here : The function ord() gets the int value
of the char. And in case you want to
convert back after playing with the
number, function chr() does the trick. >>> ord('a')
97
>>> chr(97)
'a'
>>> chr(ord('a') + 3)
'd'
>>> In Python 2, there was also the unichr function, returning the Unicode character whose ordinal is the unichr argument: >>> unichr(97)
u'a'
>>> unichr(1234)
u'\u04d2' In Python 3 you can use chr instead of unichr . ord() - Python 3.6.5rc1 documentation ord() - Python 2.7.14 documentation","python,ascii",1366,227472,https://stackoverflow.com/questions/227459/how-to-get-the-ascii-value-of-a-character
"If Python is interpreted, what are .pyc files?","They contain byte code , which is what the Python interpreter compiles the source to. This code is then executed by Python's virtual machine. Python's documentation explains the definition like this: Python is an interpreted language, as
opposed to a compiled one, though the
distinction can be blurry because of
the presence of the bytecode compiler.
This means that source files can be
run directly without explicitly
creating an executable which is then
run.","python,compiled,interpreted-language,pyc",1365,2998228,https://stackoverflow.com/questions/2998215/if-python-is-interpreted-what-are-pyc-files
What is the purpose of the `self` parameter? Why is it needed?,"The reason you need to use self is because Python does not use special syntax to refer to instance attributes. Python decided to do methods in a way that makes the instance to which the method belongs be passed automatically but not received automatically, the first parameter of methods is the instance the method is called on. That makes methods entirely the same as functions and leaves the actual name to use up to you (although self is the convention, and people will generally frown at you when you use something else.) self is not special to the code, it's just another object. Python could have done something else to distinguish normal names from attributes -- special syntax like Ruby has, or requiring declarations like C++ and Java do, or perhaps something yet more different -- but it didn't. Python's all for making things explicit, making it obvious what's what, and although it doesn't do it entirely everywhere, it does do it for instance attributes. That's why assigning to an instance attribute needs to know what instance to assign to, and that's why it needs self .","python,class,oop,self",1362,2709832,https://stackoverflow.com/questions/2709821/what-is-the-purpose-of-the-self-parameter-why-is-it-needed
Converting from a string to boolean in Python,"Really, you just compare the string to whatever you expect to accept as representing true, so you can do this: s == 'True' Or to checks against a whole bunch of values: s.lower() in ['true', '1', 't', 'y', 'yes', 'yeah', 'yup', 'certainly', 'uh-huh'] Be cautious when using the following: >>> bool(""foo"")
True
>>> bool(""False"") # beware!
True
>>> bool("""")
False Empty strings evaluate to False , but everything else evaluates to True . So this should not be used for any kind of parsing purposes.","python,string,boolean",1361,715455,https://stackoverflow.com/questions/715417/converting-from-a-string-to-boolean-in-python
Count the number of occurrences of a character in a string,"str.count(sub[, start[, end]]) Return the number of non-overlapping occurrences of substring sub in the range [start, end] . Optional arguments start and end are interpreted as in slice notation. >>> sentence = 'Mary had a little lamb'
>>> sentence.count('a')
4","python,string,count",1358,1155647,https://stackoverflow.com/questions/1155617/count-the-number-of-occurrences-of-a-character-in-a-string
How to create a GUID/UUID in Python,"The uuid module provides immutable UUID objects (the UUID class) and the functions uuid1() , uuid3() , uuid4() , uuid5() for generating version 1, 3, 4, and 5 UUIDs as specified in RFC 4122 . If all you want is a unique ID, you should probably call uuid1() or uuid4() . Note that uuid1() may compromise privacy since it creates a UUID containing the computer’s network address. uuid4() creates a random UUID. UUID versions 6, 7 and 8 - new Universally Unique Identifier (UUID) formats for use in modern applications and as database keys - ( draft ) rfc - are available from https://pypi.org/project/uuid6/ Docs: Python 2 Python 3 Examples (for both Python 2 and 3): >>> import uuid

>>> # make a random UUID
>>> uuid.uuid4()
UUID('bd65600d-8669-4903-8a14-af88203add38')

>>> # Convert a UUID to a string of hex digits in standard form
>>> str(uuid.uuid4())
'f50ec0b7-f960-400d-91f0-c42a6d44e3d0'

>>> # Convert a UUID to a 32-character hexadecimal string
>>> uuid.uuid4().hex
'9fe2c4e93f654fdbb24c02b15259716c'","python,uuid,guid,uniqueidentifier",1345,534847,https://stackoverflow.com/questions/534839/how-to-create-a-guid-uuid-in-python
How to add a new column to an existing DataFrame,"Edit 2017 As indicated in the comments and by @Alexander, currently the best method to add the values of a Series as a new column of a DataFrame could be using assign : df1 = df1.assign(e=pd.Series(np.random.randn(sLength)).values) Edit 2015 Some reported getting the SettingWithCopyWarning with this code. However, the code still runs perfectly with the current pandas version 0.16.1. >>> sLength = len(df1['a'])
>>> df1
          a         b         c         d
6 -0.269221 -0.026476  0.997517  1.294385
8  0.917438  0.847941  0.034235 -0.448948

>>> df1['e'] = pd.Series(np.random.randn(sLength), index=df1.index)
>>> df1
          a         b         c         d         e
6 -0.269221 -0.026476  0.997517  1.294385  1.757167
8  0.917438  0.847941  0.034235 -0.448948  2.228131

>>> pd.version.short_version
'0.16.1' The SettingWithCopyWarning aims to inform of a possibly invalid assignment on a copy of the Dataframe. It doesn't necessarily say you did it wrong (it can trigger false positives) but from 0.13.0 it let you know there are more adequate methods for the same purpose. Then, if you get the warning, just follow its advise: Try using .loc[row_index,col_indexer] = value instead >>> df1.loc[:,'f'] = pd.Series(np.random.randn(sLength), index=df1.index)
>>> df1
          a         b         c         d         e         f
6 -0.269221 -0.026476  0.997517  1.294385  1.757167 -0.050927
8  0.917438  0.847941  0.034235 -0.448948  2.228131  0.006109
>>> In fact, this is currently the more efficient method as described in pandas docs Original answer: Use the original df1 indexes to create the series: df1['e'] = pd.Series(np.random.randn(sLength), index=df1.index)","python,pandas,dataframe,chained-assignment",1344,12555510,https://stackoverflow.com/questions/12555323/how-to-add-a-new-column-to-an-existing-dataframe
Why does comparing strings using either &#39;==&#39; or &#39;is&#39; sometimes produce a different result?,"is is identity testing, and == is equality testing. What happens in your code would be emulated in the interpreter like this: >>> a = 'pub'
>>> b = ''.join(['p', 'u', 'b'])
>>> a == b
True
>>> a is b
False So, no wonder they're not the same, right? In other words: a is b is the equivalent of id(a) == id(b)","python,string,comparison,identity,equality",1333,1504742,https://stackoverflow.com/questions/1504717/why-does-comparing-strings-using-either-or-is-sometimes-produce-a-differe
How do I get a list of locally installed Python modules?,"Solution Do not use with pip > 10.0! My 50 cents for getting a pip freeze -like list from a Python script: import pip
installed_packages = pip.get_installed_distributions()
installed_packages_list = sorted([""%s==%s"" % (i.key, i.version)
     for i in installed_packages])
print(installed_packages_list) As a (too long) one liner: sorted([""%s==%s"" % (i.key, i.version) for i in pip.get_installed_distributions()]) Giving: ['behave==1.2.4', 'enum34==1.0', 'flask==0.10.1', 'itsdangerous==0.24',
 'jinja2==2.7.2', 'jsonschema==2.3.0', 'markupsafe==0.23', 'nose==1.3.3',
 'parse-type==0.3.4', 'parse==1.6.4', 'prettytable==0.7.2', 'requests==2.3.0',
 'six==1.6.1', 'vioozer-metadata==0.1', 'vioozer-users-server==0.1',
 'werkzeug==0.9.4'] Scope This solution applies to the system scope or to a virtual environment scope, and covers packages installed by setuptools , pip and ( god forbid ) easy_install . My use case I added the result of this call to my Flask server, so when I call it with http://example.com/exampleServer/environment I get the list of packages installed on the server's virtualenv. It makes debugging a whole lot easier. Caveats I have noticed a strange behaviour of this technique - when the Python interpreter is invoked in the same directory as a setup.py file, it does not list the package installed by setup.py . Steps to reproduce: Create a virtual environment $ cd /tmp
$ virtualenv test_env
New python executable in test_env/bin/python
Installing setuptools, pip...done.
$ source test_env/bin/activate
(test_env) $ Clone a Git repository with setup.py (test_env) $ git clone https://github.com/behave/behave.git
Cloning into 'behave'...
remote: Reusing existing pack: 4350, done.
remote: Total 4350 (delta 0), reused 0 (delta 0)
Receiving objects: 100% (4350/4350), 1.85 MiB | 418.00 KiB/s, done.
Resolving deltas: 100% (2388/2388), done.
Checking connectivity... done. We have behave's setup.py in /tmp/behave : (test_env) $ ls /tmp/behave/setup.py
    /tmp/behave/setup.py Install the Python package from the Git repository (test_env) $ cd /tmp/behave && pip install .
running install
...
Installed /private/tmp/test_env/lib/python2.7/site-packages/enum34-1.0-py2.7.egg
Finished processing dependencies for behave==1.2.5a1 If we run the aforementioned solution from /tmp >>> import pip
>>> sorted([""%s==%s"" % (i.key, i.version) for i in pip.get_installed_distributions()])
['behave==1.2.5a1', 'enum34==1.0', 'parse-type==0.3.4', 'parse==1.6.4', 'six==1.6.1']
>>> import os
>>> os.getcwd()
'/private/tmp' If we run the aforementioned solution from /tmp/behave >>> import pip
>>> sorted([""%s==%s"" % (i.key, i.version) for i in pip.get_installed_distributions()])
['enum34==1.0', 'parse-type==0.3.4', 'parse==1.6.4', 'six==1.6.1']
>>> import os
>>> os.getcwd()
'/private/tmp/behave' behave==1.2.5a1 is missing from the second example, because the working directory contains behave 's setup.py file. I could not find any reference to this issue in the documentation. Perhaps I shall open a bug for it.","python,module,pip",1332,23885252,https://stackoverflow.com/questions/739993/how-do-i-get-a-list-of-locally-installed-python-modules
Maximum and Minimum values for ints,"Python 3 In Python 3, this question doesn't apply. The plain int type is unbounded. However, you might actually be looking for information about the current interpreter's word size , which will be the same as the machine's word size in most cases. That information is still available in Python 3 as sys.maxsize , which is the maximum value representable by a signed word. Equivalently, it's the size of the largest possible list or in-memory sequence. Generally, the maximum value representable by an unsigned word will be sys.maxsize * 2 + 1 , and the number of bits in a word will be math.log2(sys.maxsize * 2 + 2) . See this answer for more information. Python 2 In Python 2, the maximum value for plain int values is available as sys.maxint : >>> sys.maxint  # on my system, 2**63-1
9223372036854775807 You can calculate the minimum value with -sys.maxint - 1 as shown in the docs . Python seamlessly switches from plain to long integers once you exceed this value. So most of the time, you won't need to know it.","python,integer",1323,7604981,https://stackoverflow.com/questions/7604966/maximum-and-minimum-values-for-ints
How to get the line count of a large file cheaply in Python,"You can't get any better than that. After all, any solution will have to read the entire file, figure out how many \n you have, and return that result. Do you have a better way of doing that without reading the entire file? Not sure... The best solution will always be I/O-bound, best you can do is make sure you don't use unnecessary memory, but it looks like you have that covered. [Edit May 2023] As commented in many other answers, in Python 3 there are better alternatives. The for loop is not the most efficient. For example, using mmap or buffers is more efficient.","python,text-files,line-count",1323,845081,https://stackoverflow.com/questions/845058/how-to-get-the-line-count-of-a-large-file-cheaply-in-python
How do I import other Python files?,"importlib was added to Python 3 to programmatically import a module. import importlib

moduleName = input('Enter module name:')
importlib.import_module(moduleName) The .py extension should be removed from moduleName . The function also defines a package argument for relative imports. In python 2.x: Just import file without the .py extension A folder can be marked as a package, by adding an empty __init__.py file You can use the __import__ function, which takes the module name (without extension) as a string extension pmName = input('Enter module name:')
pm = __import__(pmName)
print(dir(pm)) Type help(__import__) for more details.","python,import,python-import,python-module,python-packaging",1317,2349998,https://stackoverflow.com/questions/2349991/how-do-i-import-other-python-files
